date,close_price_PAXGUSD,return_PAXGUSD,signal_PAXGUSD,position_PAXGUSD,signal_return_PAXGUSD,signal_basket_return,cum_signal_basket_return,cum_return_PAXGUSD,cum_signal_return_PAXGUSD
2024-03-03 00:00:00,2024.628662,-0.003097619,1,1,-0.00154881,-0.00154881,0.040670944,0.335057358,0.040670944
2024-03-04 00:00:00,2068.94165,0.021886971,1,1,0.021886971,0.021886971,0.063448079,0.364277719,0.063448079
2024-03-05 00:00:00,2093.193604,0.011721913,1,1,0.011721913,0.011721913,0.075913724,0.380269664,0.075913724
2024-03-06 00:00:00,2111.329102,0.008664033,1,1,0.008664033,0.008664033,0.085235476,0.392228365,0.085235476
2024-03-07 00:00:00,2133.30249,0.010407373,1,1,0.010407373,0.010407373,0.096529926,0.406717805,0.096529926
2024-03-08 00:00:00,2135.247314,0.00091165,1,1,0.00091165,0.00091165,0.097529577,0.408000238,0.097529577
2024-03-09 00:00:00,2133.599365,-0.000771784,1,1,-0.000771784,-0.000771784,0.096682521,0.406913567,0.096682521
2024-03-10 00:00:00,2140.946045,0.003443327,1,1,0.003443327,0.003443327,0.100458758,0.41175803,0.100458758
2024-03-11 00:00:00,2159.764404,0.00878974,1,1,0.00878974,0.00878974,0.110131504,0.424167016,0.110131504
2024-03-12 00:00:00,2144.093994,-0.007255611,1,1,-0.007255611,-0.007255611,0.102076822,0.413833814,0.102076822
2024-03-13 00:00:00,2154.377686,0.004796288,1,1,0.004796288,0.004796288,0.107362699,0.420614968,0.107362699
2024-03-14 00:00:00,2144.031738,-0.00480229,1,1,-0.00480229,-0.00480229,0.102044822,0.413792762,0.102044822
2024-03-15 00:00:00,2135.151123,-0.004142017,1,1,-0.004142017,-0.004142017,0.097480134,0.407936809,0.097480134
2024-03-16 00:00:00,2120.217773,-0.006994048,1,1,-0.006994048,-0.006994048,0.089804305,0.398089631,0.089804305
2024-03-17 00:00:00,2120.375732,7.45013E-05,1,1,7.45013E-05,7.45013E-05,0.089885497,0.398193791,0.089885497
2024-03-18 00:00:00,2142.111816,0.010251053,1,1,0.010251053,0.010251053,0.101057971,0.412526749,0.101057971
2024-03-19 00:00:00,2131.596924,-0.004908657,1,1,-0.004908657,-0.004908657,0.095653255,0.40559314,0.095653255
